"room_id","host_id","title","description","room_type","city","district","ward","address_detail","latitude","longitude","area","guest_capacity","price_per_month","deposit","min_lease_term","electricity_price","electricity_unit","water_price","water_unit","wifi_price","parking_fee","management_fee","misc_notes","cooking_allowed","pet_allowed","gender","curfew","curfew_time","status","moderationStatus","moderation_notes","created_at","updated_at","contact_name","contact_phone"
"12","5","Chung cư mini thang máy, ban công thoáng ngõ 68 Cầu Giấy","Chung cư mini 7 tầng có thang máy, phòng rộng 30m2 có ban công phơi đồ riêng biệt. Nội thất cơ bản: Điều hòa, nóng lạnh, kệ bếp, rèm cửa. Phòng nào cũng có cửa sổ lớn đón ánh sáng tự nhiên. An ninh đảm bảo khóa vân tay 2 lớp, camera từng tầng. Dịch vụ dọn vệ sinh chung 2 lần/tuần. Vị trí đắc địa: Gần công viên Cầu Giấy, ĐH Giao Thông Vận Tải, Học viện Hành Chính. Đường ngõ rộng, ô tô đỗ cửa cách nhà 10m.","STUDIO","Thành phố Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Ngõ 68 Cầu Giấy, Quan Hoa, Cầu Giấy","21.0293","105.793","30","3","4500000","4500000","6","3800","KWH","25000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"13","2","Homestay giường tầng cao cấp cho sinh viên Thương Mại - Mai Dịch","Hệ thống Homestay 5 sao dành cho sinh viên ĐH Thương Mại, CĐ Du Lịch. Phòng rộng 50m2, trang bị giường tầng homestay cao cấp có rèm che, đệm, ga, gối đầy đủ. Mỗi người 1 tủ quần áo và bàn học riêng. Tiện ích chung: Phòng khách tivi, Bếp từ, Tủ lạnh side-by-side, Máy giặt sấy. Bao trọn gói điện, nước, mạng, dịch vụ. Môi trường sống văn minh, sạch sẽ, quy định rõ ràng. Phù hợp sinh viên muốn tìm nơi yên tĩnh, tiện nghi với chi phí thấp.","DORM","Thành phố Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Hồ Tùng Mậu, Mai Dịch, Cầu Giấy","21.0293","105.793","50","8","1700000","1700000","6","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"14","4","Phòng trọ giá rẻ Chùa Láng, gần Ngoại Thương, Ngoại Giao","Nhượng lại phòng trọ tầng 3 trong nhà 4 tầng tại ngõ 157 Chùa Láng. Diện tích 18m2, vệ sinh chung 2 phòng 1 tầng (có nóng lạnh). Phòng sạch sẽ, có cửa sổ thoáng. Tầng 1 để xe và nấu ăn chung. Vị trí cực tiện lợi: Ngay cạnh hồ Láng, đi bộ sang ĐH Ngoại Thương, Học viện Ngoại Giao, Học viện Thanh Thiếu Niên. Giá thuê rẻ, điện nước giá dân chia đầu người. Ưu tiên nữ sinh viên ở sạch sẽ, ngoan ngoãn. Chủ nhà dễ tính ở tầng 4.","ROOM","Thành phố Hà Nội","Quận Đống Đa","Phường Láng Thượng","Ngõ 157 Chùa Láng, Phường Láng Thượng, Đống Đa","21.01","105.832","18","2","2200000","2200000","3","3500","KWH","80000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"15","5","Studio full đồ view đẹp khu Xã Đàn - Đống Đa","Cần cho thuê căn Studio tầng 5 (thang bộ) view cực thoáng tại Xã Đàn. Phòng setup theo phong cách vintage, đầy đủ: Giường pallet, tủ quần áo, bàn làm việc, máy lạnh, nóng lạnh, kệ bếp mini. Có sân thượng chill hóng gió, trồng cây. Vị trí trung tâm quận Đống Đa, gần Học viện Ngân Hàng, ĐH Y Hà Nội. Khu dân cư văn hóa, yên tĩnh. Giờ giấc tự do, khóa cổng vân tay. Phù hợp cho các bạn sinh viên thích không gian sống nghệ thuật.","STUDIO","Thành phố Hà Nội","Quận Đống Đa","Phường Nam Đồng","Ngõ Xã Đàn 2, Phường Nam Đồng, Đống Đa","21.01","105.832","28","2","4200000","4200000","6","4000","KWH","100000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"16","2","Phòng trọ tập thể giường tầng khu Bách Khoa, Giải Phóng","KTX tư nhân mới xây khu vực Giải Phóng, gần Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân. Phòng rộng, điều hòa mát lạnh, mỗi người 1 giường tầng sắt chắc chắn, có tủ cá nhân. Khu bếp nấu ăn và phơi đồ trên sân thượng rộng rãi. Vệ sinh chung từng tầng luôn sạch sẽ (có người dọn). Miễn phí Wifi, gửi xe. Vị trí gần bến xe Giáp Bát, bệnh viện Bạch Mai. Môi trường sinh viên các trường kỹ thuật chăm học, thân thiện. Giá siêu rẻ cho sinh viên.","DORM","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Đồng Tâm","Giải Phóng, Phường Đồng Tâm, Hai Bà Trưng","21.005","105.858","45","8","1400000","1400000","6","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"17","4","Phòng khép kín 20m2 khu Trần Đại Nghĩa - Hai Bà Trưng","Cho thuê phòng trọ khép kín trong ngõ Tự Do, Trần Đại Nghĩa (khu tam giác Bách-Kinh-Xây). Phòng ở tầng 3, diện tích 20m2, vệ sinh khép kín có nóng lạnh. Không có điều hòa (có đầu chờ lắp đặt). Phòng sàn gạch men sạch sẽ, cửa sổ hướng Đông Nam mát mẻ. Tầng 1 để xe, không nấu ăn trong phòng (có khu bếp chung). Gần thư viện Tạ Quang Bửu, sân vận động Bách Khoa. Đi học chỉ mất 5 phút đi bộ. Điện nước công tơ riêng.","ROOM","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Trương Định","Trần Đại Nghĩa, Phường Trương Định, Hai Bà Trưng","21.005","105.858","20","2","2500000","2500000","6","4000","KWH","25000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"18","5","Chung cư mini mới xây Phùng Khoang, gần ĐH Hà Nội","Tòa nhà chung cư mini 8 tầng mới hoàn thiện tại Phùng Khoang. Phòng Studio 25m2 full nội thất: Giường, tủ, điều hòa, nóng lạnh, tủ bếp, hút mùi. Thang máy tốc độ cao, khóa cửa thẻ từ, camera an ninh, hệ thống PCCC tiêu chuẩn. Gần chợ Phùng Khoang sầm uất, ĐH Hà Nội, Kiến Trúc, An Ninh. Giờ giấc tự do 24/7. Phù hợp sinh viên có điều kiện hoặc người đi làm. Hỗ trợ lắp đặt máy giặt riêng nếu có nhu cầu.","STUDIO","Thành phố Hà Nội","Quận Nam Từ Liêm","Phường Trung Văn","Phùng Khoang, Phường Trung Văn, Nam Từ Liêm","21.014","105.76","25","2","3800000","3800000","6","3800","KWH","100000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"19","2","Phòng trọ giá rẻ Mễ Trì Hạ, gần Keangnam - Nam Từ Liêm","Cho thuê phòng trọ tầng 2 tại Mễ Trì Hạ. Phòng rộng 16m2, vệ sinh chung 2 phòng, sạch sẽ. Đã có nóng lạnh, giường, bàn học. Nhà nằm trong khu dân cư yên tĩnh, an ninh tốt, gần chợ Mễ Trì. Thuận tiện đi lại khu vực Keangnam, Mỹ Đình, ĐH Quốc Gia. Giá rẻ phù hợp sinh viên tiết kiệm. Tiền nhà đóng 1 tháng 1 lần. Chỗ để xe tầng 1 rộng rãi free. Chủ nhà thân thiện, hay hỗ trợ sinh viên.","ROOM","Thành phố Hà Nội","Quận Nam Từ Liêm","Phường Mễ Trì","Mễ Trì Hạ, Phường Mễ Trì, Nam Từ Liêm","21.014","105.76","16","1","1800000","1800000","3","3500","KWH","80000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"20","4","Nhà nguyên căn 4 tầng Nguyễn Trãi cho nhóm SV thuê - Thanh Xuân","Chính chủ cho thuê nhà riêng ngõ 328 Nguyễn Trãi (đối diện ĐH Khoa học Tự nhiên). Nhà 4 tầng, diện tích sàn 35m2. Gồm: 1 phòng khách + bếp, 4 phòng ngủ, 3 vệ sinh, sân phơi. Đã trang bị 2 điều hòa, 2 nóng lạnh. Nhà sạch sẽ, chỉ việc xách vali về ở. Phù hợp nhóm sinh viên 6-8 người ở ghép. Điện nước giá hộ gia đình siêu rẻ. Ngõ rộng, ba gác đỗ cửa. Gần điểm xe bus, ga tàu điện trên cao Cát Linh - Hà Đông.","HOUSE","Thành phố Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Trung","Ngõ 328 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân","20.994","105.8","140","8","11000000","22000000","12","0","FREE","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"21","5","Căn hộ dịch vụ cao cấp full nội thất ngay Quận 1 - HCM","Cho thuê Service Apartment cao cấp đường Hai Bà Trưng, Quận 1. Diện tích 40m2, thiết kế hiện đại, sang trọng. Full nội thất nhập khẩu: Smart TV 55inch, Tủ lạnh Side by side, Máy giặt sấy riêng, Lò nướng, Bếp từ. Dịch vụ dọn phòng 3 lần/tuần, thay ga gối 1 lần/tuần. Có phòng Gym, Hồ bơi miễn phí trong tòa nhà. Bảo vệ 24/7, lễ tân chuyên nghiệp. Vị trí trung tâm, gần nhà thờ Tân Định, công viên Lê Văn Tám. Thích hợp cho chuyên gia nước ngoài hoặc NVVP thu nhập cao.","STUDIO","Thành phố Hồ Chí Minh","Quận 1","Phường Tân Định","Hai Bà Trưng, Phường Tân Định, Quận 1","10.7757","106.7004","40","2","12000000","24000000","6","4500","KWH","0","FREE","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"22","2","Căn hộ mini ban công riêng biệt khu Phan Xích Long - Phú Nhuận","Căn hộ mini 35m2 nằm trong khu phố ẩm thực Phan Xích Long sầm uất. Phòng có phòng ngủ và phòng khách tách biệt, ban công rộng trồng cây. Full nội thất gỗ cao cấp, ấm cúng. Máy giặt riêng trong phòng. Tòa nhà thang máy, ra vào thẻ từ, giờ giấc tự do. Khu vực dân trí cao, an ninh tốt, xung quanh là bệnh viện Hoàn Mỹ, siêu thị Coopmart, hàng loạt quán cafe, nhà hàng. Đi Q1 chỉ mất 5 phút xe máy. Phù hợp cặp đôi vợ chồng trẻ hoặc NVVP.","STUDIO","Thành phố Hồ Chí Minh","Quận Phú Nhuận","Phường 7","Hoa Sứ, Phường 7, Phú Nhuận","10.799","106.677","35","2","7500000","7500000","6","4000","KWH","100000","PERSON","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"23","4","Studio view sông Sài Gòn tại Quận 4, gần Bến Nhà Rồng","Studio view sông cực chill tại đường Nguyễn Tất Thành, Quận 4. Diện tích 30m2, cửa kính toàn cảnh nhìn ra sông Sài Gòn và Bitexco. Nội thất phong cách Industrial hiện đại, cá tính. Đầy đủ tiện nghi: Máy lạnh, bếp, tủ lạnh, máy nước nóng. Tòa nhà có hầm xe rộng, thang máy, sân thượng BBQ chung. Qua cầu Khánh Hội là tới Quận 1. Phù hợp cho các bạn trẻ làm việc sáng tạo, freelancer cần không gian cảm hứng.","STUDIO","Thành phố Hồ Chí Minh","Quận 4","Phường 13","Nguyễn Tất Thành, Phường 13, Quận 4","10.756","106.701","30","2","6800000","6800000","6","4000","KWH","20000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"24","5","Căn hộ 1 ngủ 1 khách khu Trung Hòa Nhân Chính - Cầu Giấy (HN)","Cho thuê căn hộ chung cư mini cao cấp tại Hoàng Đạo Thúy. Thiết kế 1 phòng ngủ + 1 phòng khách + bếp riêng biệt, diện tích 45m2. Sàn gỗ, nội thất châu Âu sang trọng. Tòa nhà mới xây, thang máy Mitsubishi, bảo vệ 24/7. Khu vực tập trung nhiều văn phòng công ty, người Hàn Quốc sinh sống. Tiện ích xung quanh đầy đủ: Siêu thị Vinmart, nhà hàng, cafe, rạp chiếu phim. Thích hợp cho người đi làm khu vực Cầu Giấy, Thanh Xuân.","STUDIO","Thành phố Hà Nội","Quận Cầu Giấy","Phường Trung Hòa","Hoàng Đạo Thúy, Trung Hòa, Cầu Giấy","21.0293","105.793","45","3","7000000","7000000","6","3500","KWH","25000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"25","2","Studio duplex gác lửng Vinhomes Smart City - Nam Từ Liêm","Căn hộ Studio thiết kế Duplex độc đáo tại khu vực Tây Mỗ, gần Vinhomes Smart City. Diện tích sàn 30m2 + gác lửng ngủ 10m2. Trần cao thoáng, cửa kính lớn. Full nội thất thông minh: Sofa giường, bàn ăn gấp gọn, hệ tủ kịch trần. Hưởng trọn tiện ích khu đô thị: Công viên Nhật Bản, Vincom Mega Mall, xe bus điện nội khu. An ninh 3 lớp. Môi trường sống xanh, hiện đại, văn minh cho cư dân trẻ.","STUDIO","Thành phố Hà Nội","Quận Nam Từ Liêm","Phường Tây Mỗ","Cầu Cốc, Tây Mỗ, Nam Từ Liêm","21.014","105.76","40","2","5500000","5500000","12","3000","KWH","15000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"26","4","Phòng Master trong căn hộ cao cấp Time City - Hai Bà Trưng","Tìm nữ NVVP ở ghép phòng Master trong căn hộ 3PN tại Park Hill - Time City. Phòng rộng 25m2, có WC khép kín (bồn tắm nằm), cửa sổ view nhạc nước. Đầy đủ nội thất cao cấp của Vin. Sử dụng chung phòng khách, bếp rộng rãi với 2 bạn nữ khác (đều là dân văn phòng tri thức). Miễn phí sử dụng bể bơi, sân thể thao cư dân. Điện nước giá dân chia đều. Môi trường sống đẳng cấp, an toàn, tiện nghi.","ROOM","Thành phố Hà Nội","Quận Hai Bà Trưng","Phường Vĩnh Tuy","458 Minh Khai, Vĩnh Tuy, Hai Bà Trưng","21.005","105.858","25","1","5000000","5000000","6","2500","KWH","10000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
"27","5","Căn hộ 2PN cao cấp Sunrise City View - Quận 7","Cho thuê căn hộ cao cấp Sunrise City View ngay đối diện Lotte Mart Quận 7. Diện tích 76m2, thiết kế 2 phòng ngủ, 2 WC, phòng khách rộng rãi có ban công thoáng mát view hồ bơi. Nội thất được decor theo phong cách Bắc Âu sang trọng, đầy đủ tiện nghi: Sofa da thật, Tivi 65 inch, Tủ lạnh Side by side, Máy giặt sấy Electrolux. Tiện ích nội khu đẳng cấp: Hồ bơi tràn bờ, Phòng Gym, BBQ, Siêu thị, Coffee shop ngay dưới chân tòa nhà. Vị trí thuận tiện di chuyển sang Quận 1, Quận 4 chỉ mất 5-10 phút. Khu vực an ninh, dân trí cao, thích hợp cho chuyên gia nước ngoài hoặc gia đình trẻ.","STUDIO","Thành phố Hồ Chí Minh","Quận 7","Phường Tân Hưng","Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7","10.733","106.722","76","4","16000000","32000000","12","3500","KWH","18000","M3","0","0","0",,"true","false","ALL","true",,"AVAILABLE","APPROVED",,"2025-11-24 10:49:12.728432","2025-11-24 10:49:12.728432",,
